id;quote;author
143;Age is something that doesn't matter, unless you are a cheese.;Luis Bunuel
144;Hesitation increases in relation to risk in equal proportion to age.;Ernest Hemingway
145;Books were my pass to personal freedom. I learned to read at age three, and soon discovered there was a whole world to conquer that went beyond our farm in Mississippi.;Oprah Winfrey
146;In our age there is no such thing as 'keeping out of politics.' All issues are political issues, and politics itself is a mass of lies, evasions, folly, hatred and schizophrenia.;George Orwell
147;I must confess, I was born at a very early age.;Groucho Marx
148;The secret of genius is to carry the spirit of the child into old age, which mean never losing your enthusiasm.;Aldous Huxley
149;It is utterly false and cruelly arbitrary to put all the play and learning into childhood, all the work into middle age, and all the regrets into old age.;Margaret Mead
150;We aren't in an information age, we are in an entertainment age.;Tony Robbins
151;To me - old age is always ten years older than I am.;John Burroughs
152;Age is not important unless you're a cheese.;Helen Hayes
153;No matter what age you are, or what your circumstances might be, you are special, and you still have something unique to offer. Your life, because of who you are, has meaning.;Barbara de Angelis
154;A woman has the age she deserves.;Coco Chanel
155;The older I grow the more I distrust the familiar doctrine that age brings wisdom.;H. L. Mencken
156;Youngsters of the age of two and three are endowed with extraordinary strength. They can lift a dog twice their own weight and dump him into the bathtub.;Erma Bombeck
157;He who has not the spirit of this age, has all the misery of it.;Voltaire
158;Instead of being presented with stereotypes by age, sex, color, class, or religion, children must have the opportunity to learn that within each range, some people are loathsome and some are delightful.;Margaret Mead
159;I think being able to age gracefully is a very important talent. It is too late for me.;Clint Eastwood
160;Error is acceptable as long as we are young but one must not drag it along into old age.;Johann Wolfgang von Goethe
161;Age wrinkles the body. Quitting wrinkles the soul.;Douglas MacArthur
162;I don't need you to remind me of my age. I have a bladder to do that for me.;Stephen Fry
163;Talk is by far the most accessible of pleasures. It costs nothing in money, it is all profit, it completes our education, founds and fosters our friendships, and can be enjoyed at any age and in almost any state of health.;Robert Louis Stevenson
164;Men of age object too much, consult too long, adventure too little, repent too soon, and seldom drive business home to the full period, but content themselves with a mediocrity of success.;Dale Carnegie
165;Better pass boldly into that other world, in the full glory of some passion, than fade and wither dismally with age.;James Joyce
166;Age merely shows what children we remain.;Johann Wolfgang von Goethe
167;Each moment of a happy lover's hour is worth an age of dull and common life.;Aphra Behn
168;The credit of advancing science has always been due to individuals and never to the age.;Johann Wolfgang von Goethe
169;Dressing up is a bore. At a certain age, you decorate yourself to attract the opposite sex, and at a certain age, I did that. But I'm past that age.;Katharine Hepburn
170;I was born at the age of twelve on an MGM lot.;Judy Garland
171;A woman telling her true age is like a buyer confiding his final price to an Armenian rug dealer.;Mignon McLaughlin
172;How young can you die of old age?;Steven Wright
173;Legend: A lie that has attained the dignity of age.;H. L. Mencken
174;Age does not protect you from love. But love, to some extent, protects you from age.;Jeanne Moreau
175;Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time, his day, his age.;Frank Lloyd Wright
176;At the age of six I wanted to be a cook. At seven I wanted to be Napoleon. And my ambition has been growing steadily ever since.;Salvador Dali
177;Middle age is when you're sitting at home on a Saturday night and the telephone rings and you hope it isn't for you.;Ogden Nash
178;If youth knew if age could.;Sigmund Freud
179;I think the biggest disease the world suffers from in this day and age is the disease of people feeling unloved. I know that I can give love for a minute, for half an hour, for a day, for a month, but I can give. I am very happy to do that, I want to do that.;Princess Diana
180;The charm of history and its enigmatic lesson consist in the fact that, from age to age, nothing changes and yet everything is completely different.;Aldous Huxley
181;Men are like wine - some turn to vinegar, but the best improve with age.;Pope John XXIII
182;I created Punk for this day and age. Do you see Britney walking around wearing ties and singing punk? Hell no. That's what I do. I'm like a Sid Vicious for a new generation.;Avril Lavigne
183;We are all geniuses up to the age of ten.;Aldous Huxley
184;It is well for the world that in most of us, by the age of thirty, the character has set like plaster, and will never soften again.;William James
185;Every age has its own poetry in every age the circumstances of history choose a nation, a race, a class to take up the torch by creating situations that can be expressed or transcended only through poetry.;Jean-Paul Sartre
186;Old age is not a matter for sorrow. It is matter for thanks if we have left our work done behind us.;Thomas Carlyle
187;I suppose when they reach a certain age some men are afraid to grow up. It seems the older the men get, the younger their new wives get.;Elizabeth Taylor
188;Sex at age 90 is like trying to shoot pool with a rope.;George Burns
189;Publishing is in a kind of Jurassic age.;Paulo Coelho
190;Age is just a number. It's totally irrelevant unless, of course, you happen to be a bottle of wine.;Joan Collins
191;Whatever you may look like, marry a man your own age - as your beauty fades, so will his eyesight.;Phyllis Diller
192;Youth has no age.;Pablo Picasso
193;Youth is a blunder Manhood a struggle, Old Age a regret.;Benjamin Disraeli
194;To teach how to live without certainty and yet without being paralysed by hesitation is perhaps the chief thing that philosophy, in our age, can do for those who study it.;Bertrand Russell
195;It is possible that mankind is on the threshold of a golden age but, if so, it will be necessary first to slay the dragon that guards the door, and this dragon is religion.;Bertrand Russell
196;Nobody expects to trust his body overmuch after the age of fifty.;Alexander Hamilton
197;Old age realizes the dreams of youth: look at Dean Swift in his youth he built an asylum for the insane, in his old age he was himself an inmate.;Soren Kierkegaard
198;In youth we learn in age we understand.;Marie von Ebner-Eschenbach
199;Believe me, that was a happy age, before the days of architects, before the days of builders.;Lucius Annaeus Seneca
200;I have the problems of, I must confess, old age.;Billy Graham
201;Not just in commerce but in the world of ideas too our age is putting on a veritable clearance sale. Everything can be had so dirt cheap that one begins to wonder whether in the end anyone will want to make a bid.;Soren Kierkegaard
202;Bad news isn't wine. It doesn't improve with age.;Colin Powell
203;It were a real increase of human happiness, could all young men from the age of nineteen be covered under barrels, or rendered otherwise invisible and there left to follow their lawful studies and callings, till they emerged, sadder and wiser, at the age of twenty-five.;Thomas Carlyle
204;People who refuse to rest honorably on their laurels when they reach retirement age seem very admirable to me.;Helen Hayes
