id;quote;author
304;It seems as if an age of genius must be succeeded by an age of endeavour riot and extravagance by cleanliness and hard work.;Virginia Woolf
305;Old age is ready to undertake tasks that youth shirked because they would take too long.;W. Somerset Maugham
306;A woman tells her doctor, 'I've got a bad back.' The doctor says, 'It's old age.' The woman says, 'I want a second opinion.' The doctor says: 'Okay - you're ugly as well.';Tommy Cooper
307;I'm 36 and if I met a woman of my own age and married her, I'd also be marrying her former life, her past. It might be OK for some people - I don't want to judge it or anything - but it's not for me. It would destroy my creativity.;Henry Rollins
308;I believe we should encourage children to sing and play instruments from an early age.;Mick Jagger
309;You should not consider a man's age but his acts.;Sophocles
310;At my age flowers scare me.;George Burns
311;I would go out with women my age, but there are no women my age.;George Burns
312;It is not well to make great changes in old age.;Charles Spurgeon
313;Setting a good example for your children takes all the fun out of middle age.;William Feather
314;You are 27 or 28 right? It is very tough to live at that age. When nothing is sure. I have sympathy with you.;Haruki Murakami
315;The stars shall fade away, the sun himself Grow dim with age, and nature sink in years, But thou shalt flourish in immortal youth, Unhurt amidst the wars of elements, The wrecks of matter, and the crush of worlds.;Joseph Addison
316;Young men soon give, and soon forget, affronts old age is slow in both.;Joseph Addison
317;By all but the pathologically romantic, it is now recognized that this is not the age of the small man.;John Kenneth Galbraith
318;It is not the young people that degenerate they are not spoiled till those of mature age are already sunk into corruption.;Charles de Montesquieu
319;To be happy, we must be true to nature and carry our age along with us.;William Hazlitt
320;Youth cannot know how age thinks and feels. But old men are guilty if they forget what it was to be young.;J. K. Rowling
321;It is the malady of our age that the young are so busy teaching us that they have no time left to learn.;Eric Hoffer
322;I'm at peace with myself and where I am. In the past, I was always looking to see how everybody else was doing. I wasn't competitive, I was comparative. I just wanted to be where everybody else was. Now I've gotten to an age when I am not comparing anymore.;Courteney Cox
323;We of Africa protest that, in this day and age, we should continue to be treated as lesser human beings than other races.;Robert Mugabe
324;Marriage is not about age it's about finding the right person.;Sophia Bush
325;We have entered an age in which education is not just a luxury permitting some men an advantage over others. It has become a necessity without which a person is defenseless in this complex, industrialized society. We have truly entered the century of the educated man.;Lyndon B. Johnson
326;Old age is the verdict of life.;Amelia Barr
327;The passions grafted on wounded pride are the most inveterate they are green and vigorous in old age.;George Santayana
328;Every age can be enchanting, provided you live within it.;Brigitte Bardot
329;It is unthinkable for a Frenchman to arrive at middle age without having syphilis and the Cross of the Legion of Honor.;Andre Gide
330;It is folly for an eminent man to think of escaping censure, and a weakness to be affected with it. All the illustrious persons of antiquity, and indeed of every age in the world, have passed through this fiery persecution.;Joseph Addison
331;There must be a day or two in a man's life when he is the precise age for something important.;Franklin P. Adams
332;It is old age, rather than death, that is to be contrasted with life. Old age is life's parody, whereas death transforms life into a destiny: in a way it preserves it by giving it the absolute dimension. Death does away with time.;Simone de Beauvoir
333;I don't care about age very much.;Chinua Achebe
334;Old age and the passage of time teach all things.;Sophocles
335;I think age is a very high price to pay for maturity.;Tom Stoppard
336;I had used eclectic therapy and behavior therapy on myself at the age of 19 to get over my fear of public speaking and of approaching young women in public.;Albert Ellis
337;Children rarely want to know who their parents were before they were parents, and when age finally stirs their curiosity, there is no parent left to tell them.;Russell Baker
338;Middle age occurs when you are too young to take up golf and too old to rush up to the net.;Franklin P. Adams
339;Old age: I fall asleep during the funerals of my friends.;Mason Cooley
340;Staid middle age loves the hurricane passions of opera.;Mason Cooley
341;Middle age went by while I was mourning for my lost youth.;Mason Cooley
342;In passing, we should note this curious mark of our own age: the only absolute allowed is the absolute insistence that there is no absolute.;Francis Schaeffer
343;It's not catastrophes, murders, deaths, diseases, that age and kill us it's the way people look and laugh, and run up the steps of omnibuses.;Virginia Woolf
344;Not even old age knows how to love death.;Sophocles
345;It's really amazing that in the age of unbelief, as a smart man called it, there isn't even more fraud. After all, with no God, there's no one to ever call you to account, and no accounting at all if you can get away with it.;Ben Stein
346;I think that a man should not live beyond the age when he begins to deteriorate, when the flame that lighted the brightest moment of his life has weakened.;Fidel Castro
347;Temper never mellows with age, and a sharp tongue is the only edged tool that grows keener with constant use.;Washington Irving
348;It is not by the gray of the hair that one knows the age of the heart.;Edward G. Bulwer-Lytton
349;I think the sport of wrestling, which I became involved with at the age of 14... I competed until I was 34, kind of old for a contact sport. I coached the sport until I was 47. I think the discipline of wrestling has given me the discipline I have to write.;John Irving
350;Another belief of mine that everyone else my age is an adult, whereas I am merely in disguise.;Margaret Atwood
351;Age carries all things away, even the mind.;Virgil
352;Age steals away all things, even the mind.;Virgil
353;In fact, my courage and my bravery at a young age was the thing I was bullied for, a kind of 'Who do you think you are?';Lady Gaga
354;A bad manner spoils everything, even reason and justice a good one supplies everything, gilds a No, sweetens a truth, and adds a touch of beauty to old age itself.;Baltasar Gracian
355;As technology advances, it reverses the characteristics of every situation again and again. The age of automation is going to be the age of 'do it yourself.';Marshall McLuhan
356;The excess of our youth are checks written against our age and they are payable with interest thirty years later.;Charles Caleb Colton
357;At the age when Bengali youth almost inevitably writes poetry, I was listening to European classical music.;Satyajit Ray
358;I smoke ten to fifteen cigars a day. At my age I have to hold on to something.;George Burns
359;I'm at the age now where just putting my cigar in its holder is a thrill.;George Burns
360;Age becomes reality when you hear someone refer to that attractive young woman standing next to the woman in the green dress, and you find that you're the one in the green dress.;Lois Wyse
361;Our scientific age demands that we provide definitions, measurements, and statistics in order to be taken seriously. Yet most of the important things in life cannot be precisely defined or measured. Can we define or measure love, beauty, friendship, or decency, for example?;Dennis Prager
362;The nearer people approach old age the closer they return to a semblance of childhood, until the time comes for them to depart this life, again like children, neither tired of living nor aware of death.;Desiderius Erasmus
363;Old age is a special problem for me because I've never been able to shed the mental image I have of myself - a lad of about 19.;E. B. White
364;People until I was 60 would always say they thought I looked younger, which I think, without flattering myself, I did, but I think I certainly have, as George Orwell says people do after a certain age, the face they deserve.;Christopher Hitchens
365;The one thing that unites all human beings, regardless of age, gender, religion or ethnic background, is that we all believe we are above-average drivers.;Dave Barry
366;Why do people talk of the horrors of old age? It's great. I feel like a fine old car with the parts gradually wearing out, but I'm not complaining,... Those who find growing old terrible are people who haven't done what they wanted with their lives.;Martha Gellhorn
367;As winter strips the leaves from around us, so that we may see the distant regions they formerly concealed, so old age takes away our enjoyments only to enlarge the prospect of the coming eternity.;Jean Paul
368;God employs several translators some pieces are translated by age, some by sickness, some by war, some by justice.;John Donne
369;No man was ever so completely skilled in the conduct of life, as not to receive new information from age and experience.;Jonathan Swift
370;Interest is the spur of the people, but glory that of great souls. Invention is the talent of youth, and judgment of age.;Jonathan Swift
371;Invention is the talent of youth, as judgment is of age.;Jonathan Swift
372;I'm very pleased to be here. Let's face it, at my age I'm very pleased to be anywhere.;George Burns
373;I must be more sensible and realize that at my age, illusions are hardly permitted and they will always destroy me.;Paul Cezanne
374;My age and health will never allow me to realize the dream of art I've been pursuing all my life.;Paul Cezanne
375;My husband gave me a necklace. It's fake. I requested fake. Maybe I'm paranoid, but in this day and age, I don't want something around my neck that's worth more than my head.;Rita Rudner
376;From as long as, literally as far back as I can remember I've liked puns, word jokes, I can literally recall looking at a comic at the age of six or seven and I remember what I enjoyed and what it was precisely and how the joke worked.;Tom Stoppard
377;The terror of the atom age is not the violence of the new power but the speed of man's adjustment to it, the speed of his acceptance.;E. B. White
378;I was born in ancient times, at the end of the world, in a patriarchal Catholic and conservative family. No wonder that by age five I was a raging feminist - although the term had not reached Chile yet, so nobody knew what the heck was wrong with me.;Isabel Allende
379;The information encoded in your DNA determines your unique biological characteristics, such as sex, eye color, age and Social Security number.;Dave Barry
380;O love, if I regret the age when one savors you, it is not for the hour of pleasure, but for the one that follows it.;Jean-Jacques Rousseau
381;In the television age, the key distinction is between the candidate who can speak poetry and the one who can only speak prose.;Richard M. Nixon
382;Age does not matter if the matter does not age.;Jean Paul
383;I'm well past the age where I'm acceptable. You get to a certain age and you are forbidden access. You're not going to get the kind of coverage that you would like in music magazines, you're not going to get played on radio and you're not going to get played on television. I have to survive on word of mouth.;David Bowie
384;Ours is essentially a tragic age, so we refuse to take it tragically.;David Herbert Lawrence
385;Ours is an excessively conscious age. We know so much, we feel so little.;David Herbert Lawrence
386;Everybody past a certain age, regardless of how they look on the outside, pretty much constantly dreams of being able to escape from their lives.;Doug Coupland
387;One keeps forgetting old age up to the very brink of the grave.;Sidonie Gabrielle Colette
388;In the age of the individual's liquidation, the question of individuality must be raised anew.;Theodor Adorno
389;I ask you to pray for me, for once age has overtaken us, we find consolation only in religion.;Paul Cezanne
390;Today more than ever we need creative minds to address the issues of the age. And one of the most urgent is this: How can humanity know so much, achieve so much, and still fail so many people so badly?;King Abdullah II
391;Women lie about their age men lie about their income.;William Feather
392;A major advantage of age is learning to accept people without passing judgment.;Liz Carpenter
393;The people who live in a golden age usually go around complaining how yellow everything looks.;Randall Jarrell
394;There was no respect for youth when I was young, and now that I am old, there is no respect for age, I missed it coming and going.;J. B. Priestley
395;Everyone knows that by far the happiest and universally enjoyable age of man is the first. What is there about babies which makes us hug and kiss and fondle them, so that even an enemy would give them help at that age?;Desiderius Erasmus
396;Well, I'm in my 60s now. I finally look it, I think. People until I was 60 would always say they thought I looked younger, which I think, without flattering myself, I did, but I think I certainly have, as George Orwell says people do after a certain age, the face they deserve.;Christopher Hitchens
397;'Bombing Afghanistan back into the Stone Age' was quite a favourite headline for some wobbly liberals. The slogan does all the work. But an instant's thought shows that Afghanistan is being, if anything, bombed out of the Stone Age.;Christopher Hitchens
398;Oh, if I had been loved at the age of seventeen, what an idiot I would be today. Happiness is like smallpox: if you catch it too soon, it can completely ruin your constitution.;Gustave Flaubert
399;English people don't have very good diction. In France you have to pronounce very particularly and clearly, and learning French at an early age helped me enormously.;Vivien Leigh
400;Children also have artistic ability, and there is wisdom in there having it! The more helpless they are, the more instructive are the examples they furnish us and they must be preserved free of corruption from an early age.;Paul Klee
401;Of course, the ideal scenario for parenting is obviously two parents of a mature age.;Jennifer Aniston
402;You know what makes me feel old? When I see girls who are 20-something, or the new crop of actresses, and think, Aren't we kind of the same age?;Jennifer Aniston
403;I think love can happen at any age... it has no age.;Shahrukh Khan
404;Elizabeth Peyton, the artist known for tiny, dazzling portraits of radiant youth, is now painting tiny, dazzling portraits of radiant middle age.;Jerry Saltz
405;I'm inspired by people who keep on rolling, no matter their age.;Jimmy Buffett
406;By Time and Age full many things are taught.;Aeschylus
407;I was taught from a young age that I had to serve, so that turned into me thinking I had to save the planet.;Alanis Morissette
408;If you've got to my age, you've probably had your heart broken many times. So it's not that difficult to unpack a bit of grief from some little corner of your heart and cry over it.;Emma Thompson
409;My mother enjoyed old age, and because of her I've begun to enjoy parts of it too. So far I've had it good and am crumbling nicely.;Lionel Blue
410;We're saying no changes for Medicare for people above the age of 55. And in order to keep the promise to current seniors who've already retired and organized their lives around this program, you have to reform it for the next generation.;Paul Ryan
411;It's sad, actually, because my anxiety keeps me from enjoying things as much as I should at this age.;Amanda Seyfried
412;I felt a tremendous sadness for men who can't deal with a woman of their own age.;Michael Caine
413;This is the first convention of the space age - where a candidate can promise the moon and mean it.;David Brinkley
414;Revenge is the naked idol of the worship of a semi-barbarous age.;Percy Bysshe Shelley
415;I think I don't regret a single 'excess' of my responsive youth - I only regret, in my chilled age, certain occasions and possibilities I didn't embrace.;Henry James
416;Our Age of Anxiety is, in great part, the result of trying to do today's job with yesterday's tools and yesterday's concepts.;Marshall McLuhan
417;I'll tell you, there is nothing better in life than being a late bloomer. I believe that success can happen at any time and at any age.;Salma Hayek
418;Man arrives as a novice at each age of his life.;Nicolas Chamfort
419;Live your life and forget your age.;Jean Paul
420;I can't look in the mirror and look at fake things. I just can't. I'd rather age.;Heidi Klum
421;The surest sign of age is loneliness.;Annie Dillard
422;Learning to dislike children at an early age saves a lot of expense and aggravation later in life.;Robert Byrne
423;Confidence is something you're born with. I know I had loads of it even at the age of 15.;Hedy Lamarr
424;We accumulate our opinions at an age when our understanding is at its weakest.;Georg C. Lichtenberg
425;I got to experience soccer at the highest level at a young age I decided I wanted to be part of that for as long as possible.;Mia Hamm
426;Living in an age of advertisement, we are perpetually disillusioned. The perfect life is spread before us every day, but it changes and withers at a touch.;J. B. Priestley
427;Age, like distance lends a double charm.;Oliver Herford
428;Utility is the great idol of the age, to which all powers must do service and all talents swear allegiance.;Friedrich Schiller
429;Anyone who writes an autobiographical work at the age of 34 is, at best, presumptuous. It occurred to me that it was time to set the record straight.;Jessica Savitch
430;New needs need new techniques. And the modern artists have found new ways and new means of making their statements... the modern painter cannot express this age, the airplane, the atom bomb, the radio, in the old forms of the Renaissance or of any other past culture.;Jackson Pollock
431;One of the tough things about being an actor, probably the hardest thing, is getting your foot in the door, and my father handled that for me at a very early age.;Jeff Bridges
432;Any role that big is going to be a challenge for any actor, but for an actor of a young age, it's going to be even tougher.;Jeff Bridges
433;Now is the age of anxiety.;W. H. Auden
434;I think it's pretty crazy to say you've been typecast at the age of 20 before you've even really started getting going.;Tom Felton
435;At the age of four with paper hats and wooden swords we're all Generals. Only some of us never grow out of it.;Peter Ustinov
436;My inspiration was my mom. She's a great cook, and she still cooks, and we still banter back and forth about cooking. Growing up in a mostly Portuguese community, food was important and the family table was extremely important. At a very young age I understood that.;Emeril Lagasse
437;The great book for you is the book that has the most to say to you at the moment when you are reading. I do not mean the book that is most instructive, but the book that feeds your spirit. And that depends on your age, your experience, your psychological and spiritual need.;Robertson Davies
438;Age gives you a great sense of proportion. You can be very hard on yourself when you're younger but now I just think 'well everybody's absolutely mad and I'm doing quite well'.;Steven Morrissey
439;If the nineteenth century was the age of the editorial chair, ours is the century of the psychiatrist's couch.;Marshall McLuhan
440;American youth attributes much more importance to arriving at driver's license age than at voting age.;Marshall McLuhan
441;I think a child should be allowed to take his father's or mother's name at will on coming of age. Paternity is a legal fiction.;James Joyce
442;Old age is the most unexpected of all things that happen to a man.;Leon Trotsky
443;You get to a certain age where you prepare yourself for happiness. Sometimes you never remember to actually get happy.;John Mayer
444;Being a father at a later age is different from when I had my other two daughters when I was in my 20s and 30s. If you're in your 60s and you're with the kid every day, you're dealing with the mind of a child, so it opens up that childishness in you again.;Martin Scorsese
445;A moment comes, which comes but rarely in history, when we step out from the old to the new when an age ends and when the soul of a nation long suppressed finds utterance.;Jawaharlal Nehru
446;There is nothing in socialism that a little age or a little money will not cure.;Will Durant
447;If you age with somebody, you go through so many roles - you're lovers, friends, enemies, colleagues, strangers you're brother and sister. That's what intimacy is, if you're with your soulmate.;Cate Blanchett
448;With age, you see people fail more. You see yourself fail more. How do you keep that fearlessness of a kid? You keep going. Luckily, I'm not afraid to make a fool of myself.;Hugh Jackman
449;I'm not skinny for the wrong reasons. It's not because I'm bulimic or anorexic or doing drugs. Compared to a lot of actresses my age, I'm actually overweight.;Lindsay Lohan
450;It seems that when you get to a certain age you almost give yourself permission to misbehave and say what you think. People allow it, with very old people.;Julie Walters
451;I'm not as far along as Jack Nicklaus was at this age, but I'm trying.;Tiger Woods
452;When superstition is allowed to perform the task of old age in dulling the human temperament, we can say goodbye to all excellence in poetry, in painting, and in music.;Denis Diderot
453;Peace is the one condition of survival in this nuclear age.;Adlai E. Stevenson
454;What could be more beautiful than a dear old lady growing wise with age? Every age can be enchanting, provided you live within it.;Brigitte Bardot
455;You'd think that in this age, especially in the 21st century - especially with all the technology and all the discoveries that we've made - that we would figure out how to tackle abuse.;Tori Amos
456;Here comes 40. I'm feeling my age and I've ordered the Ferrari. I'm going to get the whole mid-life crisis package.;Keanu Reeves
457;At a young age winning is not the most important thing... the important thing is to develop creative and skilled players with good confidence.;Arsene Wenger
458;We live in an age where the artist is forgotten. He is a researcher. I see myself that way.;David Hockney
459;I lived the true American dream, because I was able to pursue what I set as my goals at a very young age.;Mario Andretti
460;Everybody looks like clones and the only people you notice are my age. I don't notice anybody unless they look great, and every now and again they do, and they are usually 70.;Vivienne Westwood
461;Photography suits the temper of this age - of active bodies and minds. It is a perfect medium for one whose mind is teeming with ideas, imagery, for a prolific worker who would be slowed down by painting or sculpting, for one who sees quickly and acts decisively, accurately.;Edward Weston
462;I never - you know also one of the things that would save me for a man my age, it was not that easy to lose that much weight and fall down and look like something draped.;Karl Lagerfeld
463;I wish I'd gotten sober at a younger age.;Janice Dickinson
464;Middle Age is that perplexing time of life when we hear two voices calling us, one saying, 'Why not?' and the other, 'Why bother?';Sydney J. Harris
465;Save your money. You're going to need twice as much money in your old age as you think.;Michael Caine
466;If you read back in the Bible, the letter of the apostle Paul to the church of Thessalonia, he said that in the latter days before the end of the age that the Earth would be caught up in what he called the birth pangs of a new order.;Pat Robertson
467;There is no self-knowledge but an historical one. No one knows what he himself is who does not know his fellow men, especially the most prominent one of the community, the master's master, the genius of the age.;Karl Wilhelm Friedrich Schlegel
468;Middle age is when your old classmates are so grey and wrinkled and bald they don't recognize you.;Bennett Cerf
469;In this electronic age we see ourselves being translated more and more into the form of information, moving toward the technological extension of consciousness.;Marshall McLuhan
470;You can judge your age by the amount of pain you feel when you come in contact with a new idea.;Pearl S. Buck
471;The sanitary and mechanical age we are now entering makes up for the mercy it grants to our sense of smell by the ferocity with which it assails our sense of hearing.;Havelock Ellis
472;Middle age is when you've met so many people that every new person you meet reminds you of someone else.;Ogden Nash
473;There are people whose watch stops at a certain hour and who remain permanently at that age.;Helen Rowland
474;My justification is that most people my age spend a lot of time thinking about what they're going to do for the next five or ten years. The time they spend thinking about their life, I just spend drinking.;Amy Winehouse
475;They that have lived a single day have lived an age.;Jean de la Bruyere
476;From the age of fifteen, dogma has been the fundamental principle of my religion: I know no other religion I cannot enter into the idea of any other sort of religion religion, as a mere sentiment, is to me a dream and a mockery.;John Henry Newman
477;The class distinctions proper to a democratic society are not those of rank or money, still less, as is apt to happen when these are abandoned, of race, but of age.;W. H. Auden
478;Old age, calm, expanded, broad with the haughty breadth of the universe, old age flowing free with the delicious near-by freedom of death.;Edith Wharton
479;We are living in the machine age. For the first time in history the comedian has been compelled to supply himself with jokes and comedy material to compete with the machine. Whether he knows it or not, the comedian is on a treadmill to oblivion.;Fred Allen
480;At a certain age it just became apparent to me that this was probably the work that I would have to do.;Daniel Day-Lewis
481;Genius is present in every age, but the men carrying it within them remain benumbed unless extraordinary events occur to heat up and melt the mass so that it flows forth.;Denis Diderot
482;Every age needs men who will redeem the time by living with a vision of the things that are to be.;Adlai E. Stevenson
483;I would like to see more airplay for all artists, no matter what age. I think there's a lot of money being spent toward the young guys, but a lot of the older guys are the ones who blazed the trail for those young guys.;Willie Nelson
484;In my old age, I'll be in L.A.;David Hockney
485;I shall not grow conservative with age.;Elizabeth Cady Stanton
486;I first learned that there were black people living in some place called other than the United States in the western hemisphere when I was a very little boy, and my father told me that when he was a boy about my age, he wanted to be an Episcopal priest, because he so admired his priest, a black man from someplace called Haiti.;Henry Louis Gates
487;Why should 20-year-olds only be considered sexy? I think we get better with age.;Jenny McCarthy
488;I saw how many people were poor and how many kids my age went to school hungry in the morning, which I don't think most of my contemporaries in racially segregated schools in the South thought very much about at the time.;Charles Kuralt
489;When you get to my age life seems little more than one long march to and from the lavatory.;A. C. Benson
490;I think, if you put a camera in anyone's life and document it daily from the age of 21 to 27, there are going to be things that aren't always pretty.;Sienna Miller
491;Non-disclosure in the Internet Age is quickly perceived as a breach of trust. Government, corporations and each of us as individuals must recalibrate how we live and share our lives appropriate to the information now available and the expectations of others.;Simon Mainwaring
492;Where children are, there is the golden age.;Novalis
493;Sure I played, did you think I was born at the age of 70 sitting in a dugout trying to manage guys like you?;Casey Stengel
494;To be free in an age like ours, one must be in a position of authority. That in itself would be enough to make me ambitious.;Hannah Arendt
495;I came to water late. I learned to swim at the age of 20.;Liam Neeson
496;People are so busy dreaming the American Dream, fantasizing about what they could be or have a right to be, that they're all asleep at the switch. Consequently we are living in the Age of Human Error.;Florence King
497;I was getting hot flashes and sweats on a regular basis. That's not normal, even for my age.;Kareem Abdul-Jabbar
498;I remember at the age of five travelling on a trolley car with my mother past a group of women on a picket line at a textile plant, seeing them being viciously beaten by security people. So that kind of thing stayed with me.;Noam Chomsky
499;Age is not all decay it is the ripening, the swelling, of the fresh life within, that withers and bursts the husk.;George MacDonald
500;I knew at a young age, whether I was playing baseball or hockey or lacrosse, that my teammates were counting on me, whether it be to strike the last batter out in a baseball game or score a big goal in a hockey game.;Wayne Gretzky
501;The funniest racism is the racism between minorities. It's something you don't see dramatized, but almost every minority I know who's my age, they have these funny stories about their parents stereotyping other minorities.;Mindy Kaling
502;It's ironic that at age 32, at probably the greatest moment of my career, with The Godfather having such an enormous success, I wasn't even aware of it, because I was somewhere else under the deadline again.;Francis Ford Coppola
503;I'm asked all the time in interviews about who I am, and I know a few people my age who have a strong sense of self, but I couldn't say I know myself and sum it up and give it to you in a little package. I don't know myself at all yet.;Kristen Stewart
504;Alexander at the head of the world never tasted the true pleasure that boys of his own age have enjoyed at the head of a school.;Horace Walpole
505;To separate children from others of similar age and qualifications solely because of their race generates a feeling of inferiority as to their status in the community that may affect their hearts and minds in a way unlikely ever to be undone.;Earl Warren
506;In an age of incompetence, I've been able to last in this crazy business. I actually know how to play my ax and write a song. That's my job.;Billy Joel
507;In this age of media and Internet access, we are much more talkative than ever before.;David Duchovny
508;Over the years Woodstock got glorified and romanticised and became the event that symbolised Utopia. It's the last page of our collective memory of the age of innocence. Then things turned ugly and would never be the same again.;Ang Lee
509;Every time I see something terrible, it's like I see it at age 19. I keep a freshness that way.;Ralph Nader
510;I hate to mention age, but I come from an era when we weren't consumed by technology and television.;Jimmy Buffett
511;We are approaching a new age of synthesis. Knowledge cannot be merely a degree or a skill... it demands a broader vision, capabilities in critical thinking and logical deduction without which we cannot have constructive progress.;Li Ka Shing
512;Morality comes with the sad wisdom of age, when the sense of curiosity has withered.;Graham Greene
513;Every age yearns for a more beautiful world. The deeper the desperation and the depression about the confusing present, the more intense that yearning.;Johan Huizinga
514;To be told that one can be dependent on one's parents until age 26 should strike a young person who wants to grow up as demeaning, not as something to celebrate.;Dennis Prager
515;Does age matter? Time doesn't matter.;Sandra Bullock
516;I figured out it was a social thing, what women were allowed to do. At a very young age, I decided I was not going to follow women's rules.;Joan Jett
517;We were really grown up for our age and it was an incredible special band.;Joan Jett
518;Age is the first limitation on roles that I've ever had to encounter, and I hit that awhile ago.;Jack Nicholson
519;I can't hit on women in public any more. I didn't decide this it just doesn't feel right at my age.;Jack Nicholson
520;This is the first age that's ever paid much attention to the future, which is a little ironic since we may not have one.;Arthur C. Clarke
521;I feel we live in the kind of culture now where you have to be very smart to navigate the right way, and I just don't have those smarts. I think with age and time it will change, but I can't obsess about it.;Sienna Miller
522;The secret of long life is double careers. One to about age sixty, then another for the next thirty years.;David Ogilvy
523;I knew at an early age I wanted to act. Acting was always easy for me. I don't believe in predestination, but I do believe that once you get where ever it is you are going, that is where you were going to be.;Morgan Freeman
524;The age in which we live, this non-stop distraction, is making it more impossible for the young generation to ever have the curiosity or discipline... because you need to be alone to find out anything.;Vivienne Westwood
525;I can feel the 60S looming. In my profession, I've just moved along with my age. By thinking in decades, rather than whether someone's 42 or 47, you can give yourself a whole 10 years to turn yourself around in.;Francesca Annis
526;We all know now that people can look good for their age. It isn't so extraordinary, I don't know why people go on about it so much.;Francesca Annis
527;A lot of music you might listen to is pretty vapid, it doesn't always deal with our deeper issues. These are the things I'm interested in now, particularly at my age.;Annie Lennox
528;Life expectancy in many parts of Africa can be something around the age of thirty five to thirty eight. I mean you're very fortunate if you live to that age. In fact when I went to Uganda for the first time one of the things that occurred to me was that I saw very few elderly people.;Annie Lennox
529;Light and funny has a more compelling quality when you're younger. But I haven't abandoned the genre: I love falling down I love Lucille Ball. It's just that a lot of those stories revolve around problems that I can't convincingly portray at this age.;Julia Roberts
530;I had the good fortune to be able to right an injustice that I thought was being heaped on young people by lowering the voting age, where you had young people that were old enough to die in Vietnam but not old enough to vote for their members of Congress that sent them there.;Birch Bayh
531;The value of old age depends upon the person who reaches it. To some men of early performance it is useless. To others, who are late to develop, it just enables them to finish the job.;Thomas Hardy
532;I've gotten crankier in my old age.;Shirley MacLaine
533;I've been very competitive by nature from a young age, whether it was eating a bowl of pasta faster than somebody else, or always wanting to be the first one in line.;Maria Sharapova
534;Death comes not to the living soul, nor age to the loving heart.;Phoebe Cary
535;I'm not busy... a woman with three children under the age of 10 wouldn't think my schedule looked so busy.;Garrison Keillor
536;High expectations weren't nurtured in my neck of nowhere back then - children weren't fawned over from an early age as 'gifted' and groomed for a prizewinning future self-esteem was considered something you had to pick from the garden yourself.;James Wolcott
537;Not by age but by capacity is wisdom acquired.;Plautus
538;Whoever marries the spirit of this age will find himself a widower in the next.;William Ralph Inge
539;Of middle age the best that can be said is that a middle-aged person has likely learned how to have a little fun in spite of his troubles.;Don Marquis
540;Old age is always wakeful as if, the longer linked with life, the less man has to do with aught that looks like death.;Herman Melville
541;What I think is amazing is not that 85% of people who get married under the age of 25 get divorced, it's that 15% of them stay together. How did they manage to pull that off? You almost can't wait too long. It's the single simplest measure to predict divorce.;Elizabeth Gilbert
542;I avoid talking before the youth of the age as I would dancing before them: for if one's tongue don't move in the steps of the day, and thinks to please by its old graces, it is only an object of ridicule.;Horace Walpole
543;I'm glad I was born when I was. My time was the golden age of variety. If I were starting out again now, maybe things would happen for me, but it certainly would not be on a variety show with 28 musicians, 12 dancers, two major guest stars, 50 costumes a week by Bob Mackie. The networks just wouldn't spend the money today.;Carol Burnett
544;I was taught from a young age that many people would treat me as a second-class citizen because I was African-American and because I was female.;Queen Latifah
545;Even from a very early age, I knew I didn't want to miss out on anything life had to offer just because it might be considered dangerous.;Nicole Kidman
546;We live in an age where anonymity is growing in magnitude like a bomb going off.;Jock Sturges
547;I was a mixture of being incredibly old for my age and incredibly backwards. I was born quite old, but then I stopped growing. I lived with my mum and dad till I was 30.;Helena Bonham Carter
548;The Word of fire burns today On the lips of our prophets in an evil age.;Margaret Walker
549;What is wrong with the Iranians in addition to the nuclear bomb? This is the only country on Earth in the 21st century that has renewed imperialistic ambitions. They really want to become the hegemon of the Middle East in an age that gave up imperialism.;Shimon Peres
550;I think it's quite extraordinary that people cast me as if I'm Warren Beatty: until I met my present wife, at the age of 35, you could name two girlfriends.;Colin Firth
551;Craziest thing I've done for love is getting married. I think it's crazy. I think it's crazy, crazy, crazy. I'm never going to say I wouldn't do it again but I have to make sure it's love and not settling for the 'I have to do this by a certain age,' which is kind of what I did.;Jenny McCarthy
552;You never choose the way that you're raised, it's just the way that you were raised, but you do get to a certain age where you're in a position to question the expectations of you and the way that you've been formed by your surroundings.;Mia Wasikowska
553;We tried not to age, but time had its rage.;Pete Townshend
554;I want to age with some dignity.;Pete Townshend
555;This is my 20th year in the sport. I've known swimming and that's it. I don't want to swim past age 30 if I continue after this Olympics, and come back in 2016, I'll be 31. I'm looking forward to being able to see the other side of the fence.;Michael Phelps
556;Young man, the secret of my success is that an early age I discovered that I was not God.;Oliver Wendell Holmes, Jr.
557;I'd like to talk about free markets. Information in the computer age is the last genuine free market left on earth except those free markets where indigenous people are still surviving. And that's basically becoming limited.;Russell Means
558;I would often find myself, at the age of 21, at midnight, running down a dark street on my own with 10 men chasing me. And the fact they had cameras in their hands made that legal.;Sienna Miller
559;Bring a wife home to your house when you are of the right age, not far short of 30 years, nor much above this is the right time for marriage.;Hesiod
560;There are only two things a child will share willingly communicable diseases and its mother's age.;Benjamin Spock
561;Although it is generally known, I think it's about time to announce that I was born at a very early age.;Douglas Horton
562;I think it's your mental attitude. So many of us start dreading age in high school and that's a waste of a lovely life. 'Oh... I'm 30, oh, I'm 40, oh, 50.' Make the most of it.;Betty White
563;No, no, I was only funny on stage, really. I, I, think I was funny as a person toward my classmates when I was very young. You know, when I was a child, up to about the age of 12.;Rowan Atkinson
